Title,Revenue
The Best Little Whorehouse in Texas,69701637
The Kid,69700000
The Adventures of Sharkboy and Lavagirl,69425966
License to Wed,69307224
Babe: Pig in the City,69131860
Guess Who,68915888
House of Wax,68766121
The Sweetest Thing,68696770
Land of the Lost,68688831
Looney Tunes: Back in Action,68514844
Ghost Ship,68349884
Bandits,67631903
Star Trek: Nemesis,67312826
The Messenger: The Story of Joan of Arc,66976317
Herbie Fully Loaded,66002004
Bad Company,65977295
Flags of Our Fathers,65900249
Sweet November,65754228
16 Blocks,65664721
Matchstick Men,65565672
Taking Lives,65470529
Flushed Away,64459316
Sudden Death,64350171
Zathura: A Space Adventure,64321501
Space Chimps,63800345
High Crimes,63781810
What About Bob?,63710000
Tango & Cash,63408614
Lions for Lambs,63215872
The Reaping,62771059
Year One,62357900
Two Brothers,62172050
Captain Corelli's Mandolin,62112895
The Rocketeer,62000000
I Love Trouble,61947267
The 13th Warrior,61698899
Funny People,61458982
After the Sunset,61347797
The Shaggy Dog,61112916
Mission to Mars,60874615
Marie Antoinette,60474340
Ninja Assassin,60462347
The Insider,60289912
Chain Reaction,60209334
The International,60161391
Duplicity,60000000
The Good Shepherd,59908565
The Flintstones in Viva Rock Vegas,59468275
The Story of Us,58900031
Honey I Blew Up the Kid,58662452
Jack,58620973
The Ninth Gate,58401898
Sky Captain and the World of Tomorrow,57958696
Aliens in the Attic,57881056
Inkheart,57490374
Sister Act 2: Back in the Habit,57319029
Willow,57269863
Walking Tall,57223890
Predator 2,57120318
Annie,57059003
Shanghai Noon,56932305
Murder by Numbers,56714147
A Civil Action,56702901
Elektra,56681566
15 Minutes,56359980
Kicking & Screaming,56070433
Doom,55987321
Pay It Forward,55707411
Out of Time,55495563
The Ant Bully,55181129
Eastern Promises,55112356
Spanglish,55041367
The Guardian,55011732
Analyze That,55003135
Driven,54744738
Small Soldiers,54682547
Domestic Disturbance,54249294
Tin Cup,53854588
Nine,53825515
Dragon Wars: D-War,53587404
Dragonfly,52322400
Æon Flux,52304001
Elizabethtown,52034889
Enough,51801187
Hollywood Homicide,51142659
The Tale of Despereaux,50877145
Unleashed,50871113
Meet Dave,50650079
K-PAX,50315140
Natural Born Killers,50282766
Breakdown,50159144
Absolute Power,50068310
Raising Helen,49718611
The Island of Dr. Moreau,49627779
