Title,Genre,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
Hollow Man,Action,0,0,0,0,0,95213455,95213455,95213455,95213455,95213455,95213455
Lara Croft Tomb Raider: The Cradle of Life,Action,0,0,0,0,0,0,0,0,61505388,61505388,61505388
Driven,Action,0,0,0,0,0,0,-39255262,-39255262,-39255262,-39255262,-39255262
Finding Nemo,Animation,0,0,0,0,0,0,0,0,846335536,846335536,846335536
The Lord of the Rings: The Return of the King,Adventure,0,0,0,0,0,0,0,0,1024888979,1024888979,1024888979
Jurassic Park III,Adventure,0,0,0,0,0,0,275780809,275780809,275780809,275780809,275780809
The Lord of the Rings: The Fellowship of the Ring,Adventure,0,0,0,0,0,0,778368364,778368364,778368364,778368364,778368364
Twister,Action,0,402471524,402471524,402471524,402471524,402471524,402471524,402471524,402471524,402471524,402471524
Charlie's Angels,Action,0,0,0,0,0,172105545,172105545,172105545,172105545,172105545,172105545
Spy Game,Action,0,0,0,0,0,0,51049560,51049560,51049560,51049560,51049560
Black Hawk Down,Action,0,0,0,0,0,0,80989651,80989651,80989651,80989651,80989651
The Incredibles,Action,0,0,0,0,0,0,0,0,0,539442092,539442092
Die Hard: With a Vengeance,Action,276101666,276101666,276101666,276101666,276101666,276101666,276101666,276101666,276101666,276101666,276101666
Judge Dredd,Science Fiction,23493481,23493481,23493481,23493481,23493481,23493481,23493481,23493481,23493481,23493481,23493481
The Devil's Own,Crime,0,0,50807547,50807547,50807547,50807547,50807547,50807547,50807547,50807547,50807547
The Fifth Element,Adventure,0,0,173920180,173920180,173920180,173920180,173920180,173920180,173920180,173920180,173920180
Men in Black,Action,0,0,499390539,499390539,499390539,499390539,499390539,499390539,499390539,499390539,499390539
Contact,Drama,0,0,81120329,81120329,81120329,81120329,81120329,81120329,81120329,81120329,81120329
Mulan,Animation,0,0,0,214320254,214320254,214320254,214320254,214320254,214320254,214320254,214320254
Meet Joe Black,Fantasy,0,0,0,52940100,52940100,52940100,52940100,52940100,52940100,52940100,52940100
Enemy of the State,Action,0,0,0,160649836,160649836,160649836,160649836,160649836,160649836,160649836,160649836
Babe: Pig in the City,Adventure,0,0,0,-20868140,-20868140,-20868140,-20868140,-20868140,-20868140,-20868140,-20868140
Payback,Drama,0,0,0,0,71626121,71626121,71626121,71626121,71626121,71626121,71626121
The Insider,Drama,0,0,0,0,-29710088,-29710088,-29710088,-29710088,-29710088,-29710088,-29710088
Toy Story 2,Animation,0,0,0,0,407366869,407366869,407366869,407366869,407366869,407366869,407366869
Supernova,Horror,0,0,0,0,0,-75171919,-75171919,-75171919,-75171919,-75171919,-75171919
Mission to Mars,Science Fiction,0,0,0,0,0,-29125385,-29125385,-29125385,-29125385,-29125385,-29125385
Gone in Sixty Seconds,Action,0,0,0,0,0,147202299,147202299,147202299,147202299,147202299,147202299
Cast Away,Adventure,0,0,0,0,0,339632142,339632142,339632142,339632142,339632142,339632142
Rush Hour 2,Action,0,0,0,0,0,0,257325802,257325802,257325802,257325802,257325802
The Haunted Mansion,Thriller,0,0,0,0,0,0,0,0,92290266,92290266,92290266
The Stepford Wives,Action,0,0,0,0,0,0,0,0,0,12000000,12000000
Cinderella Man,Romance,0,0,0,0,0,0,0,0,0,0,20539911
The Brothers Grimm,Adventure,0,0,0,0,0,0,0,0,0,0,17316267
Hannibal,Crime,0,0,0,0,0,0,264692268,264692268,264692268,264692268,264692268
Seabiscuit,Drama,0,0,0,0,0,0,0,0,61336445,61336445,61336445
Hercules,Animation,0,0,167712101,167712101,167712101,167712101,167712101,167712101,167712101,167712101,167712101
Air Force One,Action,0,0,230156409,230156409,230156409,230156409,230156409,230156409,230156409,230156409,230156409
What Dreams May Come,Drama,0,0,0,-13514957,-13514957,-13514957,-13514957,-13514957,-13514957,-13514957,-13514957
102 Dalmatians,Comedy,0,0,0,0,0,98611771,98611771,98611771,98611771,98611771,98611771
Ocean's Eleven,Thriller,0,0,0,0,0,0,365717150,365717150,365717150,365717150,365717150
Collateral Damage,Action,0,0,0,0,0,0,0,-6617567,-6617567,-6617567,-6617567
Showtime,Action,0,0,0,0,0,0,0,-7258268,-7258268,-7258268,-7258268
The Rundown,Adventure,0,0,0,0,0,0,0,0,-4083508,-4083508,-4083508
Bewitched,Comedy,0,0,0,0,0,0,0,0,0,0,46426169
Memoirs of a Geisha,Drama,0,0,0,0,0,0,0,0,0,0,77242962
Nutty Professor II: The Klumps,Fantasy,0,0,0,0,0,39307945,39307945,39307945,39307945,39307945,39307945
Scooby-Doo,Mystery,0,0,0,0,0,0,0,191650703,191650703,191650703,191650703
The Flintstones in Viva Rock Vegas,Science Fiction,0,0,0,0,0,-23531725,-23531725,-23531725,-23531725,-23531725,-23531725
Man on the Moon,Comedy,0,0,0,0,-34565570,-34565570,-34565570,-34565570,-34565570,-34565570,-34565570
The 6th Day,Science Fiction,0,0,0,0,0,14085477,14085477,14085477,14085477,14085477,14085477
The Longest Yard,Comedy,0,0,0,0,0,0,0,0,0,0,108320568
Mission: Impossible,Adventure,0,377696359,377696359,377696359,377696359,377696359,377696359,377696359,377696359,377696359,377696359
Space Jam,Animation,0,170200000,170200000,170200000,170200000,170200000,170200000,170200000,170200000,170200000,170200000
Daylight,Action,0,79212469,79212469,79212469,79212469,79212469,79212469,79212469,79212469,79212469,79212469
Ransom,Action,0,229492681,229492681,229492681,229492681,229492681,229492681,229492681,229492681,229492681,229492681
Face/Off,Action,0,0,165676146,165676146,165676146,165676146,165676146,165676146,165676146,165676146,165676146
Flubber,Comedy,0,0,97977226,97977226,97977226,97977226,97977226,97977226,97977226,97977226,97977226
The Postman,Drama,0,0,-62373766,-62373766,-62373766,-62373766,-62373766,-62373766,-62373766,-62373766,-62373766
Lost in Space,Adventure,0,0,0,56159423,56159423,56159423,56159423,56159423,56159423,56159423,56159423
Message in a Bottle,Romance,0,0,0,0,38880016,38880016,38880016,38880016,38880016,38880016,38880016
Analyze This,Comedy,0,0,0,0,96885658,96885658,96885658,96885658,96885658,96885658,96885658
Life,Comedy,0,0,0,0,-6654971,-6654971,-6654971,-6654971,-6654971,-6654971,-6654971
