Title,Genre,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
Anna Karenina,Drama,0,0,-34208170,-34208170,-34208170,-34208170,-34208170,-34208170,-34208170,-34208170,-34208170
L.A. Confidential,Crime,0,0,91216940,91216940,91216940,91216940,91216940,91216940,91216940,91216940,91216940
For Richer or Poorer,Comedy,0,0,-3388775,-3388775,-3388775,-3388775,-3388775,-3388775,-3388775,-3388775,-3388775
Midnight in the Garden of Good and Evil,Crime,0,0,-9894745,-9894745,-9894745,-9894745,-9894745,-9894745,-9894745,-9894745,-9894745
Species II,Science Fiction,0,0,0,-15834440,-15834440,-15834440,-15834440,-15834440,-15834440,-15834440,-15834440
Blast from the Past,Comedy,0,0,0,0,5263020,5263020,5263020,5263020,5263020,5263020,5263020
Bounce,Drama,0,0,0,0,0,1779296,1779296,1779296,1779296,1779296,1779296
Dungeons & Dragons,Action,0,0,0,0,0,-19814759,-19814759,-19814759,-19814759,-19814759,-19814759
The Pledge,Crime,0,0,0,0,0,0,-5600000,-5600000,-5600000,-5600000,-5600000
The Wedding Planner,Comedy,0,0,0,0,0,0,59728529,59728529,59728529,59728529,59728529
Spy Kids,Action,0,0,0,0,0,0,112934180,112934180,112934180,112934180,112934180
American Outlaws,Action,0,0,0,0,0,0,-21321087,-21321087,-21321087,-21321087,-21321087
From Hell,Horror,0,0,0,0,0,0,39558115,39558115,39558115,39558115,39558115
The Count of Monte Cristo,Action,0,0,0,0,0,0,0,40395048,40395048,40395048,40395048
Queen of the Damned,Drama,0,0,0,0,0,0,0,10479110,10479110,10479110,10479110
The Four Feathers,War,0,0,0,0,0,0,0,-5117355,-5117355,-5117355,-5117355
Ghost Ship,Horror,0,0,0,0,0,0,0,33349884,33349884,33349884,33349884
Femme Fatale,Thriller,0,0,0,0,0,0,0,-18161090,-18161090,-18161090,-18161090
The Pianist,Drama,0,0,0,0,0,0,0,85072577,85072577,85072577,85072577
Down with Love,Action,0,0,0,0,0,0,0,0,-14701793,-14701793,-14701793
The Order,Drama,0,0,0,0,0,0,0,0,-23439194,-23439194,-23439194
School of Rock,Comedy,0,0,0,0,0,0,0,0,96282949,96282949,96282949
Jersey Girl,Comedy,0,0,0,0,0,0,0,0,0,1098382,1098382
Little Black Book,Comedy,0,0,0,0,0,0,0,0,0,-12965168,-12965168
Cursed,Horror,0,0,0,0,0,0,0,0,0,0,-15705099
Guess Who,Comedy,0,0,0,0,0,0,0,0,0,0,33915888
Sky High,Adventure,0,0,0,0,0,0,0,0,0,0,51369815
Valiant,Animation,0,0,0,0,0,0,0,0,0,0,-15521894
Two for the Money,Comedy,0,0,0,0,0,0,0,0,0,0,-4473491
North Country,Drama,0,0,0,0,0,0,0,0,0,0,-9775758
Big Daddy,Comedy,0,0,0,0,200601895,200601895,200601895,200601895,200601895,200601895,200601895
Summer Catch,Drama,0,0,0,0,0,0,-14306109,-14306109,-14306109,-14306109,-14306109
