Country,Longitude,Latitude,World Bank region,Population (2019),,,
Bermuda,-64.706,32.3293,Other,63918,,,
Libya,13.1072,32.8578,Middle East and North Africa,6777452,,,
Iraq,44.394,33.3302,Middle East and North Africa,39309783,,,
Syrian Arab Republic,36.3119,33.5146,Middle East and North Africa,17070135,,,
Lebanon,35.5134,33.8872,Middle East and North Africa,6855713,,,
Morocco,-6.8704,33.9905,Middle East and North Africa,36471769,,,
Afghanistan,69.1761,34.5228,South Asia,38041754,,,
Cyprus,33.3736,35.1676,Europe and Central Asia,1198575,,,
Japan,139.77,35.67,Other,126264931,,,
"Iran, Islamic Rep.",51.4447,35.6878,Middle East and North Africa,82913906,,,
Malta,14.5189,35.9042,Middle East and North Africa,502653,,,
Algeria,3.05097,36.7397,Middle East and North Africa,43053054,,,
Tunisia,10.21,36.7899,Middle East and North Africa,11694719,,,
"Korea, Rep.",126.957,37.5323,East Asia and Pacific,51709098,,,
Turkmenistan,58.3794,37.9509,Europe and Central Asia,5942089,,,
Greece,23.7166,37.9792,Other,10716322,,,
Tajikistan,68.7864,38.5878,Europe and Central Asia,9321018,,,
Portugal,-9.13552,38.7072,Other,10269417,,,
United States,-77.032,38.8895,Other,328239523,,,
Turkey,32.3606,39.7153,Europe and Central Asia,83429615,,,
China,116.286,40.0495,East Asia and Pacific,1397715000,,,
Armenia,44.509,40.1596,Europe and Central Asia,2957731,,,
Azerbaijan,49.8932,40.3834,Europe and Central Asia,10023318,,,
Spain,-3.70327,40.4167,Other,47076781,,,
Uzbekistan,69.269,41.3052,Europe and Central Asia,33580650,,,
Albania,19.8172,41.3317,Europe and Central Asia,2854191,,,
Georgia,44.793,41.71,Europe and Central Asia,3720382,,,
Italy,12.4823,41.8955,Other,60297396,,,
North Macedonia,21.4361,42.0024,Europe and Central Asia,2083459,,,
Montenegro,19.2595,42.4602,Europe and Central Asia,622137,,,
Andorra,1.5218,42.5075,Other,77142,,,
Kosovo,20.926,42.565,Europe and Central Asia,1794248,,,
Bulgaria,23.3238,42.7105,Europe and Central Asia,6975761,,,
Kyrgyz Republic,74.6057,42.8851,Europe and Central Asia,6456900,,,
Monaco,7.41891,43.7325,Other,38964,,,
Bosnia and Herzegovina,18.4214,43.8607,Europe and Central Asia,3301000,,,
San Marino,12.4486,43.9322,Other,33860,,,
Romania,26.0979,44.4479,Europe and Central Asia,19356544,,,
Serbia,20.4656,44.8024,Europe and Central Asia,6944975,,,
Canada,-75.6919,45.4215,Other,37589262,,,
Croatia,15.9614,45.8069,Europe and Central Asia,4067500,,,
Slovenia,14.5044,46.0546,Europe and Central Asia,2087946,,,
Switzerland,7.44821,46.948,Other,8574832,,,
Moldova,28.8497,47.0167,Europe and Central Asia,2657637,,,
Liechtenstein,9.52148,47.1411,Other,38019,,,
Hungary,19.0408,47.4984,Europe and Central Asia,9769949,,,
Mongolia,106.937,47.9129,East Asia and Pacific,3225167,,,
Slovak Republic,17.1073,48.1484,Europe and Central Asia,5454073,,,
Austria,16.3798,48.2201,Other,8877067,,,
France,2.35097,48.8566,Other,67059887,,,
Luxembourg,6.1296,49.61,Other,619896,,,
Czech Republic,14.4205,50.0878,Europe and Central Asia,10669709,,,
Ukraine,30.5038,50.4536,Europe and Central Asia,44385155,,,
Belgium,4.36761,50.8371,Other,11484055,,,
Kazakhstan,71.4382,51.1879,Europe and Central Asia,18513930,,,
United Kingdom,-0.126236,51.5002,Other,66834405,,,
Poland,21.02,52.26,Europe and Central Asia,37970874,,,
Netherlands,4.89095,52.3738,Other,17332850,,,
Germany,13.4115,52.5235,Other,83132799,,,
Ireland,-6.26749,53.3441,Other,4941444,,,
Belarus,27.5766,53.9678,Europe and Central Asia,9466856,,,
Isle of Man,-4.47928,54.1509,Other,84584,,,
Lithuania,25.2799,54.6896,Europe and Central Asia,2786844,,,
Denmark,12.5681,55.6763,Other,5818553,,,
Russian Federation,37.6176,55.7558,Europe and Central Asia,144373535,,,
Latvia,24.1048,56.9465,Europe and Central Asia,1912789,,,
Sweden,18.0645,59.3327,Other,10285453,,,
Estonia,24.7586,59.4392,Europe and Central Asia,1326590,,,
Norway,10.7387,59.9138,Europe and Central Asia,5347896,,,
Finland,24.9525,60.1608,Other,5520314,,,
Faroe Islands,-6.91181,61.8926,Other,48678,,,
Iceland,-21.8952,64.1353,Other,361313,,,
Greenland,-51.7214,64.1836,Other,56225,,,
