Country,Longitude,Latitude,World Bank region,Population (2019),Unnamed: 5,Unnamed: 6,Unnamed: 7,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service
Somalia,45.3254,2.07515,Sub-Saharan Africa,15442905.0,,,,SUB-SAHARAN AFRICA        ,8863338.0,637657.0,13.9,0.47,5.37,116.7,500.0,37.8,11.3,1.67,0.04,98.29,1.0,45.13,16.63,0.65,0.1,0.25
Malaysia,101.684,3.12433,East Asia and Pacific,31949777.0,,,,ASIA (EX. NEAR EAST),24385858.0,329750.0,74.0,1.42,0.0,17.7,9000.0,88.7,179.0,5.48,17.61,76.91,2.0,22.86,5.05,84.0,0.48,436.0
Equatorial Guinea,8.7741,3.7523,Sub-Saharan Africa,1355986.0,,,,SUB-SAHARAN AFRICA        ,540109.0,28051.0,19.3,1.06,0.0,85.13,2700.0,85.7,18.5,4.63,3.57,91.8,2.0,35.59,15.06,0.03,906.0,62.0
Cameroon,11.5174,3.8721,Sub-Saharan Africa,25876380.0,,,,SUB-SAHARAN AFRICA        ,17340702.0,475440.0,36.5,0.08,0.0,68.26,1800.0,79.0,5.7,12.81,2.58,84.61,1.5,33.89,13.47,448.0,0.17,382.0
Maldives,73.5109,4.1742,South Asia,530953.0,,,,ASIA (EX. NEAR EAST),359008.0,300.0,1196.7,214.67,0.0,56.52,3900.0,97.2,90.0,13.33,16.67,70.0,2.0,34.81,7.06,0.2,0.18,0.62
Colombia,-74.082,4.60987,Latin America & the Caribbean,50339443.0,,,,LATIN AMER. & CARIB   ,43593035.0,1138910.0,38.3,0.28,-0.31,20.97,6300.0,92.5,176.2,2.42,1.67,95.91,2.0,20.48,5.58,125.0,342.0,533.0
South Sudan,31.6,4.85,Sub-Saharan Africa,11062113.0,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,114.946,4.94199,Other,433285.0,,,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,-4.0305,5.332,Sub-Saharan Africa,25716544.0,,,,SUB-SAHARAN AFRICA        ,17654843.0,322460.0,54.8,0.16,-0.07,90.83,1400.0,50.9,14.6,9.75,13.84,76.41,2.0,35.11,14.84,279.0,171.0,0.55
Ghana,-0.20795,5.57045,Sub-Saharan Africa,30417856.0,,,,SUB-SAHARAN AFRICA        ,22409572.0,239460.0,93.6,0.23,-0.64,51.43,2200.0,74.8,14.4,16.26,9.67,74.07,2.0,30.52,9.72,366.0,246.0,387.0
